TURNSTILE,stop_id,latitude,longitude
14th Down,26722,40.73735,-73.99684
30th Street,26724,40.74912,-73.98827
Exchange Place Head,26727,40.71676,-74.03238
Hoboken/Lackawanna,26730,40.73586,-74.02922
33rd St West,26724,40.74912,-73.98827
23rd Down,26723,40.7429,-73.99278
9th,26725,40.73424,-73.9991
Newark C,26733,40.73454,-74.16375
Harrison East,26729,40.73942,-74.15587
Newark B Main,26733,40.73454,-74.16375
Hoboken City/NJT,26730,40.73586,-74.02922
23rd Up,26723,40.7429,-73.99278
Harrison West,26729,40.73942,-74.15587
Pavonia/Newport,26732,40.72699,-74.03383
WTC,26734,40.71271,-74.01193
WTC South,26734,40.71271,-74.01193
World Trade Center,26734,40.71271,-74.01193
Journal Square,26731,40.73301,-74.06289
Christopher,26726,40.73295,-74.00707
14th Up,26722,40.73735,-73.99684
33rd St East,26724,40.74912,-73.98827
Newark H,26733,40.73454,-74.16375
Exchange Place Main,26727,40.71676,-74.03238
Grove,26728,40.71966,-74.04245
Newark B East,26733,40.73454,-74.16375
